Label;count
Forest land remaining Forest land;367483
Forest land converted to Cropland;4618
Forest land converted to Grassland;447
Forest land converted to Artificial land;2642
Cropland converted to Forest land;34
Cropland remaining Cropland;1309274
Cropland converted to Grassland;5586
Cropland converted to Artificial land;70893
Grassland converted to Cropland;13332
Grassland remaining Grassland;973407
Grassland converted to Artificial land;14694
Artificial land remaining Artificial land;404418
Residual land converted to Forest land;5
Residual land converted to Cropland;7031
Residual land converted to Grassland;3546
Residual land converted to Artificial land;792
Residual land remaining Residual land;70221
