Label;count
Forest land remaining Forest land;369004
Forest land converted to Cropland;4941
Forest land converted to Grassland;7
Forest land converted to Artificial land;1238
Cropland remaining Cropland;1352356
Cropland converted to Grassland;1273
Cropland converted to Artificial land;32158
Grassland converted to Cropland;9689
Grassland remaining Grassland;979590
Grassland converted to Artificial land;12154
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;6228
Residual land converted to Grassland;2998
Residual land converted to Artificial land;179
Residual land remaining Residual land;72190
