Label;count
Forest land remaining Forest land;3866604
Forest land converted to Artificial land;1706
Cropland remaining Cropland;1651031
Cropland converted to Grassland;281695
Cropland converted to Artificial land;38507
Grassland converted to Cropland;21031
Grassland remaining Grassland;672195
Grassland converted to Artificial land;4284
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15608
Residual land converted to Artificial land;3571
Residual land remaining Residual land;675350
