Label;count
Forest land remaining Forest land;369004
Forest land converted to Cropland;4944
Forest land converted to Grassland;4
Forest land converted to Artificial land;1238
Cropland remaining Cropland;1352373
Cropland converted to Grassland;1260
Cropland converted to Artificial land;32154
Grassland converted to Cropland;9676
Grassland remaining Grassland;979603
Grassland converted to Artificial land;12154
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;6221
Residual land converted to Grassland;3001
Residual land converted to Artificial land;183
Residual land remaining Residual land;72190
