Label;count
Forest land remaining Forest land;24209582
Forest land converted to Cropland;2870
Forest land converted to Artificial land;4198
Cropland converted to Forest land;688072
Cropland remaining Cropland;2170508
Cropland converted to Grassland;6978
Cropland converted to Artificial land;23789
Grassland converted to Forest land;1049
Grassland converted to Cropland;88
Grassland remaining Grassland;4678
Grassland converted to Artificial land;800
Artificial land remaining Artificial land;391563
Residual land converted to Artificial land;69
Residual land remaining Residual land;723706
