Label;count
Forest land remaining Forest land;29493548
Forest land converted to Grassland;668
Forest land converted to Artificial land;16141
Cropland remaining Cropland;3698748
Cropland converted to Grassland;7379
Cropland converted to Artificial land;12791
Cropland converted to Residual land;1196
Grassland converted to Cropland;239
Grassland remaining Grassland;259322
Grassland converted to Artificial land;1437
Grassland converted to Residual land;809
Artificial land remaining Artificial land;528298
Residual land converted to Artificial land;44
Residual land remaining Residual land;2953437
