Label;count
Forest land remaining Forest land;10266507
Forest land converted to Artificial land;1011
Cropland converted to Forest land;110
Cropland remaining Cropland;15240522
Cropland converted to Grassland;230198
Cropland converted to Artificial land;120823
Cropland converted to Residual land;1950
Grassland converted to Forest land;20389
Grassland converted to Cropland;77234
Grassland remaining Grassland;2668948
Grassland converted to Artificial land;42661
Grassland converted to Residual land;509
Artificial land remaining Artificial land;1676252
Residual land remaining Residual land;32257
