Label;count
Forest land remaining Forest land;3867469
Forest land converted to Artificial land;841
Cropland remaining Cropland;1685495
Cropland converted to Grassland;273711
Cropland converted to Artificial land;12027
Grassland converted to Cropland;142
Grassland remaining Grassland;694763
Grassland converted to Artificial land;2605
Artificial land remaining Artificial land;425447
Residual land converted to Cropland;15116
Residual land converted to Artificial land;573
Residual land remaining Residual land;678840
