Label;count
Forest land remaining Forest land;367574
Forest land converted to Cropland;4777
Forest land converted to Grassland;447
Forest land converted to Artificial land;2392
Cropland converted to Forest land;27
Cropland remaining Cropland;1319139
Cropland converted to Grassland;4095
Cropland converted to Artificial land;62526
Grassland converted to Cropland;13464
Grassland remaining Grassland;973604
Grassland converted to Artificial land;14365
Artificial land remaining Artificial land;404418
Residual land converted to Forest land;4
Residual land converted to Cropland;6045
Residual land converted to Grassland;3546
Residual land converted to Artificial land;583
Residual land remaining Residual land;71417
