Label;count
Forest land remaining Forest land;367990
Forest land converted to Cropland;4942
Forest land converted to Grassland;136
Forest land converted to Artificial land;2122
Cropland remaining Cropland;1353183
Cropland converted to Grassland;1269
Cropland converted to Artificial land;31335
Grassland converted to Cropland;9687
Grassland remaining Grassland;979952
Grassland converted to Artificial land;11794
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;7282
Residual land converted to Grassland;1983
Residual land converted to Artificial land;469
Residual land remaining Residual land;71861
