Label;count
Forest land remaining Forest land;1216680
Forest land converted to Artificial land;98
Cropland remaining Cropland;561377
Cropland converted to Grassland;4555
Cropland converted to Artificial land;9559
Grassland remaining Grassland;103213
Artificial land remaining Artificial land;56282
Residual land remaining Residual land;23836
