Label;count
Forest land remaining Forest land;368435
Forest land converted to Cropland;4943
Forest land converted to Grassland;5
Forest land converted to Artificial land;1807
Cropland remaining Cropland;1352884
Cropland converted to Grassland;1261
Cropland converted to Artificial land;31642
Grassland converted to Cropland;9679
Grassland remaining Grassland;979601
Grassland converted to Artificial land;12153
Artificial land remaining Artificial land;404418
Residual land converted to Cropland;6806
Residual land converted to Grassland;2473
Residual land converted to Artificial land;126
Residual land remaining Residual land;72190
