Label;count
Forest land remaining Forest land;2125287
Forest land converted to Cropland;24927
Forest land converted to Grassland;24
Forest land converted to Artificial land;14507
Cropland remaining Cropland;5278255
Cropland converted to Grassland;9480
Cropland converted to Artificial land;57792
Grassland converted to Cropland;2944
Grassland remaining Grassland;689510
Grassland converted to Artificial land;8376
Artificial land remaining Artificial land;519623
Residual land converted to Cropland;9712
Residual land converted to Grassland;18
Residual land converted to Artificial land;121
Residual land remaining Residual land;220897
